Category,Company Name,Address,Street Address,City,State,Zip,Mobile Number,Website Address,Email,Reviews Average,Count Of Review
"Petrol Pump","Hindustan Petroleum Petrol Pump","10, Maulana Abul Kalam Azad Rd, Gulmohar, Mali Panchghara, Howrah, West Bengal 711105","10Maulana Abul Kalam Azad Rd","Howrah","WestBengal","711105","033 2587 9658","http://www.hindustanpetroleum.com/","info@lpgvitrakchayanweb.in","3.9","34",
"Petrol Pump","Eseem Service Station","135, 2, Dr Abani Dutta Rd, Mali Panchghara, Howrah, West Bengal 711106","1352","Howrah","WestBengal","711106","","","","4.3","50",
"Petrol Pump","HP PETROL PUMP - PRATAP SERVICE STATION","103/ Howrah, 21, Upper Foreshore Rd, Choura Bustee, Shibpur, Kolkata, West Bengal 711101","103/ Howrah21","Kolkata","WestBengal","711101","093300 48087","","","4","131",
"Petrol Pump","New Sushil road lines","1/1, 2, duke road, near Mishra petrol pump, Choura Bustee, Shibpur, Howrah, West Bengal 711102","1/12","Howrah","WestBengal","711102","099038 94030","","","3.9","16",
"Petrol Pump","Gauriyo Moth Petrol Pump","Netaji Subhash Rd, Bantra, Ichapur, Howrah, West Bengal 711104","Netaji Subhash RdBantra","Howrah","WestBengal","711104","","","","3.9","135",
"Petrol Pump","Bharat Petroleum - Balaji Enterprise","94, Benaras Rd, Bamangachi, Salkia, Howrah, West Bengal 711106","94Benaras Rd","Howrah","WestBengal","711106","096747 46683","http://www.bharatpetroleum.in/","life-@-bpcl.aspx","3.8","110",
"Petrol Pump","Hp Petrol pump","135, 1, Babudanga, Mali Panchghara, Howrah, West Bengal 711106","1351","Howrah","WestBengal","711106","","http://sirdcd.blogspot.com/","contact@templesofindia.org.Kuldanga","3.9","7",
"Petrol Pump","HP PETROL PUMP - LAKSHMI AUTOMOBILE STORES","2 West Bengal, 126, Narasingha Dutta Rd, Bantra, Ichapur, Kolkata, West Bengal 711101","2 West Bengal126","Kolkata","WestBengal","711101","098361 77606","","","4.5","4",
"Petrol Pump","BPCL Petrol Pump -Grewal Auto Service","97/1, Upper Foreshore Rd, Choura Bustee, Shibpur, Howrah, West Bengal 711102","97/1Upper Foreshore Rd","Howrah","WestBengal","711102","098302 57768","http://www.bharatpetroleum.in/","life-@-bpcl.aspx","3.9","282",
"Petrol Pump","Mh Filling Centre","14, 14, Kona Expy, Belepole, Chatterjihat, Shibpur, Howrah, West Bengal 711104","1414","Howrah","WestBengal","711104","","","","4","2",
"Petrol Pump","Petrol Pump","3, Billiards Rd, Howrah Railway Station, Kadam Tala, Howrah, West Bengal 711101","3Billiards Rd","Howrah","WestBengal","711101","098319 92016","http://sirdcd.blogspot.com/","contact@templesofindia.org.Kuldanga","2","1",
"Petrol Pump","Indian Oil Petroleum","H8JM+H3M, Howrah Railway Station, Howrah, West Bengal 711101","H8JM+H3MHowrah Railway Station","Howrah","WestBengal","711101","","https://iocl.com/","","3.4","13",
"Petrol Pump","Indian Oil Petrol Pump","1/2 lakshmi narayan talla, Andul Rd, Shalimar, Howrah, West Bengal 711103","1/2 lakshmi narayan tallaAndul Rd","Howrah","WestBengal","711103","","","","3.7","10",
"Petrol Pump","Sur Petrol Pump","109, Grand Trunk Rd, Belur, Liluah, Howrah, West Bengal 711204","109Grand Trunk Rd","Howrah","WestBengal","711204","","","","4.1","270",
"Petrol Pump","HP PETROL PUMP - KANAK SERVICE STATION","Biplabi Haren Ghosh Biplabi Haren Ghosh West Bengal, Grand Trunk Rd, %u0938%u093E%u0930%u0923%u0940, Bagmari, Kolkata, West Bengal 711101","Biplabi Haren Ghosh Biplabi Haren Ghosh West BengalGrand Trunk Rd","Kolkata","WestBengal","711101","098301 94038","","","3.7","23",
"Petrol Pump","Bharat Petroleum  Petrol Pump -Harisadhan Service Station","31/1SHAIKPARA LANE SHIBPUR, Howrah, West Bengal 711104","31/1SHAIKPARA LANE SHIBPURHowrah","Howrah","WestBengal","711104","098300 78437","http://www.bharatpetroleum.in/","life-@-bpcl.aspx","4.1","306",
"Petrol Pump","Bharat Petroleum  Petrol Pump -Manada Motors Serv.","314,GT ROAD(NORTH),HOWRAH, Howrah, West Bengal 711106","314GT ROAD(NORTH)","Howrah","WestBengal","711106","","http://www.bharatpetroleum.in/","life-@-bpcl.aspx","3.9","21",
"Petrol Pump","Bhawani petrol pump belgachhia","P/61, Benaras Rd, Belgachia, Liluah, Howrah, West Bengal 711108","P/61Benaras Rd","Howrah","WestBengal","711108","","","","3.9","358",
"Petrol Pump","Indian Oil Petrol Pump","P.S. CHATTERJEEHAT, 119, MB Rd, Santragachi, Ichapur, Howrah, West Bengal 711104","P.S. CHATTERJEEHAT119","Howrah","WestBengal","711104","","https://www.iocl.com/","","4.1","54",
"Petrol Pump","Karunamoyee Service","SH6, Shalimar, Howrah, West Bengal 711103","SH6Shalimar","Howrah","WestBengal","711103","","","","3.9","204",
"Petrol Pump","BPCL Retail Outlet","Kona Expy, Shibpur, Howrah, West Bengal 711101","Kona ExpyShibpur","Howrah","WestBengal","711101","","https://bharatpetroleum.com/Bharat-Petroleum-For/Business-Associates/Dealers.aspx","","4.1","600",
"Petrol Pump","Notun Rasta Petrol Pump","Dr Bholanath Chakraborty Sarani, Bantra, Shibpur, Howrah, West Bengal 711104","Dr Bholanath Chakraborty SaraniBantra","Howrah","WestBengal","711104","098302 62737","","","4","325",
"Petrol Pump","Jaunpur Service Station","194/1, Grand Trunk Road, Salkia, Howrah, West Bengal 711106","194/1Grand Trunk Road","Howrah","WestBengal","711106","","","","3.7","143",
"Petrol Pump","Kalikundu Lane Petrol Pump","Netaji Subhash Rd, Kadam Tala, Howrah, West Bengal 711101","Netaji Subhash RdKadam Tala","Howrah","WestBengal","711101","","","","4","752",
"Petrol Pump","HP Petrol Pump  Bakultala Motor Stores","Botanical Garden Road, 15, Andul Rd, Opposite of, New Gate, Howrah, West Bengal 711109","Botanical Garden Road15","Howrah","WestBengal","711109","098311 48153","","","4","362",
"Petrol Pump","HP Petrol Pump Auto Care Centre - Mourigram","Panchpara, Andul Rd, Mourigram, Howrah, West Bengal 711317","PanchparaAndul Rd","Howrah","WestBengal","711317","090070 60303","http://www.hpretail.in/","hpcl.in.co@gmail.com","4","80",
"Petrol Pump","Indian Oil Petrol Pump & Service Centre (Anila Service Station)","14, 14, Kona Expy, Chatterjihat, Shibpur, Howrah, West Bengal 711104","1414","Howrah","WestBengal","711104","033 2667 0016","","","4","834",
"Petrol Pump","Bakul Tala Motor Stores (HPCL PETROL PUMP)","Andul Road Panchpara Howrah, Howrah Panchpara, West Bengal 711317","Andul Road Panchpara HowrahHowrah Panchpara","Howrah Panchpara","WestBengal","711317","033 2644 4343","","","3.9","12",
"Petrol Pump","Indian Oil - Akashmoni Tours and Travels","304, Grand Trunk Rd, Kazipada, Shibpur, Howrah, West Bengal 711103","304Grand Trunk Rd","Howrah","WestBengal","711103","1800 233 3555","https://www.iocl.com/","","3.9","187",
"Petrol Pump","BALITIKURI PETROL PUMP","J822+HX3, Natun Pally, Surkimill, Balitikuri, Howrah, West Bengal 711113","J822+HX3Natun Pally","Howrah","WestBengal","711113","","","","3.8","102",
"Petrol Pump","Petrol pump","302, Naora, Shibpur, Howrah, West Bengal 711102","302Naora","Howrah","WestBengal","711102","","","","5","2",
"Petrol Pump","Badamtalla Petrol Pump","Grand Trunk Rd, Belur, Bally, Howrah, West Bengal 711201","Grand Trunk RdBelur","Howrah","WestBengal","711201","","https://www.bharatpetroleum.in/","life-@-bpcl.aspx","4","617",
"Petrol Pump","HP PETROL PUMP - STANDARD AUTO SERVICE","Howrah, 212, Grand Trunk Rd, Pilkhana, Salkia, Kolkata, West Bengal 711107","Howrah212","Kolkata","WestBengal","711107","098311 48153","http://www.hindustanpetroleum.com/","info@lpgvitrakchayanweb.in","3.8","92",
"Petrol Pump","Bhabani Service Station-Bharat Petroleum","42, Benaras Rd, Kunjapara, Belgachia, Dasnagar, Howrah, West Bengal 711105","42Benaras Rd","Howrah","WestBengal","711105","098307 72019","","","3.9","79",
"Petrol Pump","Spice Gas LPG","Upper Foreshore Rd, Choura Bustee, Shibpur, Howrah, West Bengal 711101","Upper Foreshore RdChoura Bustee","Howrah","WestBengal","711101","","","","3.9","10",
"Petrol Pump","Bharat Petroleum  Petrol Pump -Karunamoyee Service","ANDUL ROAD, HOWRAH, Howrah, West Bengal 711103","ANDUL ROADHOWRAH","Howrah","WestBengal","711103","","http://www.bharatpetroleum.in/","life-@-bpcl.aspx","3.9","14",
"Petrol Pump","Kona Filling Station","khaliya, Benaras Rd, Chamrail, Howrah, West Bengal 711114","khaliyaBenaras Rd","Howrah","WestBengal","711114","","","","4","12",
"Petrol Pump","HP PETROL PUMP SM FILLING CENTER","Ekshara, Benaras Rd, near mm weigh bridge, Howrah, West Bengal 711114","EksharaBenaras Rd","Howrah","WestBengal","711114","","","","3.8","4",
