Category,Company Name,Address,Street Address,City,State,Zip,Mobile Number,Website Address,Email,Reviews Average,Count Of Review
"Electric vehicle charging station","Hero Electric Charging Station","Sen Mukherjee Bagan, 1, Diamond Harbour Rd, Pora Aswathatola, Paschim Barisha, Kolkata, West Bengal 700063","Sen Mukherjee Bagan1","Kolkata","WestBengal","700063","080173 64502","https://heroelectric.in/locate-us/","wecare@herolectro.com","","",
"Electric vehicle charging station","EV Charging Solution","2nd Floor, Room 24C, Gajraj Chamber, 86B/2, Topsia Rd, Topsia, Kolkata, West Bengal 700046","2nd FloorRoom 24C","Kolkata","WestBengal","700046","060025 40311","","","5","1",
"Electric vehicle charging station","Electric Vehicle Charging Station","1021, Janoki,opposite to SBI Bank, JN Bose Rd, Kodalla, Rajpur Sonarpur, Kolkata, West Bengal 700146","1021Janoki","Kolkata","WestBengal","700146","070030 78485","https://www.plugshare.com/location/287156","","","",
"Electric vehicle charging station","Hero Electric Charging Station","295 G.T Road Belur Howrah, Howrah, Kolkata, West Bengal 711202","295 G.T Road Belur HowrahHowrah","Kolkata","WestBengal","711202","082406 15585","https://heroelectric.in/locate-us/","wecare@herolectro.com","","",
"Electric vehicle charging station","S.S.Enterprise","41c, Ashutosh Mukherjee Rd, Bot Tola, Shyampur, Budge Budge, Kolkata, West Bengal 700137","41cAshutosh Mukherjee Rd","Kolkata","WestBengal","700137","098754 01150","","","5","3",
"Electric vehicle charging station","Hero Electric Vehicle Charging Station","D.H. Road, Bratachari Gram, Joka, Kolkata, West Bengal 700104","D.H. RoadBratachari Gram","Kolkata","WestBengal","700104","","https://heroelectric.in/locate-us/","wecare@herolectro.com","","",
"Electric vehicle charging station","Electric Vehicle Charging Station","Balaram Hospital, 10, Barrackpore Trunk Rd, Khardaha, Kolkata, West Bengal 700116","Balaram Hospital10","Kolkata","WestBengal","700116","","https://www.chargelist.com/","heretohelp@bp.com","","",
"Electric vehicle charging station","Electric Vehicle Charging Station","IOCL Paul Chowdhury Enterprise, Barrackpore Trunk Rd, Vivek Nagar, Titagarh, Kolkata, West Bengal 700119","IOCL Paul Chowdhury EnterpriseBarrackpore Trunk Rd","Kolkata","WestBengal","700119","","https://www.plugshare.com/location/318126","","","",
"Electric vehicle charging station","Nafish aman electric","1811, Kolkata, West Bengal 700135","1811Kolkata","Kolkata","WestBengal","700135","","","","5","1",
"Electric vehicle charging station","EESL Charging Station","Street Number 24, Sub-Central Business District(Action Area 1), Action Area I, Newtown, New Town, West Bengal 700156","Street Number 24Sub-Central Business District(Action Area 1)","New Town","WestBengal","700156","","","","","",
"Electric vehicle charging station","ZAKIR & SONS ELECTRONICS","35, 1, Samsul Huda Rd, Park Circus, Ballygunge, Kolkata, West Bengal 700017","351","Kolkata","WestBengal","700017","","","","5","3",
"Electric vehicle charging station","J D Enterprise","Sree Colony Bazar, Bijoygarh, Kolkata, West Bengal 700032","Sree Colony BazarBijoygarh","Kolkata","WestBengal","700032","062902 19086","","","5","30",
"Electric vehicle charging station","Electric Vehicle Charging Station","%u0995%u09B2%u0995%u09BE%u09A4%u09BE, Ghuni Rd, Action Area IIE, Newtown, New Town, West Bengal 700157","%u0995%u09B2%u0995%u09BE%u09A4%u09BEGhuni Rd","New Town","WestBengal","700157","","","","","",
"Electric vehicle charging station","Electric Vehicle Charging Station","Malancha Housing, Action Area IIB, Rekjuani, Kolkata, West Bengal 700135","Malancha HousingAction Area IIB","Kolkata","WestBengal","700135","","","","","",
"Electric vehicle charging station","Electric Vehicle Charging Station","Shapoorji Bus Terminus, Action Area III, Newtown, Kolkata, West Bengal 700135","Shapoorji Bus TerminusAction Area III","Kolkata","WestBengal","700135","","","","1","1",
"Electric vehicle charging station","Electric Vehicle Charging Station","Parking Lot Golf Club, Gate no. 6, Ecopark, Deshbandhu Nagar, Rekjuani, West Bengal 700156","Parking Lot Golf ClubGate no. 6","Rekjuani","WestBengal","700156","","","","","",
"Electric vehicle charging station","Electric Vehicle Charging Station","Nawabpur (New Town, Action Area IIE, Rekjuani, Kolkata, West Bengal 700135","Nawabpur (New TownAction Area IIE","Kolkata","WestBengal","700135","","","","","",
"Electric vehicle charging station","Hero Electric Charging Station","109/1/F Girish Ghosh Road, Howrah, Kolkata, West Bengal 711202","109/1/F Girish Ghosh RoadHowrah","Kolkata","WestBengal","711202","089818 13651","https://heroelectric.in/locate-us/","wecare@herolectro.com","","",
"Electric vehicle charging station","Electric Vehicle Charging Station","Mehman Kolkata Restaurant, BF Block(Newtown), Action Area 1B, Newtown, NKDA, West Bengal 700156","Mehman Kolkata RestaurantBF Block(Newtown)","NKDA","WestBengal","700156","","","","4","2",
"Electric vehicle charging station","Hero Electric Charging Station","Chetla Hut Road, Kalighat, West Bengal 700027","Chetla Hut RoadKalighat","Kalighat","WestBengal","700027","062911 39496","https://heroelectric.in/locate-us/","wecare@herolectro.com","","",
"Electric vehicle charging station","Hero Electric Charging Station","Sen Mukherjee Bagan, 1, Diamond Harbour Rd, Pora Aswathatola, Paschim Barisha, Kolkata, West Bengal 700063","Sen Mukherjee Bagan1","Kolkata","WestBengal","700063","080173 64502","https://heroelectric.in/locate-us/","wecare@herolectro.com","","",
"Electric vehicle charging station","EV Charging Solution","2nd Floor, Room 24C, Gajraj Chamber, 86B/2, Topsia Rd, Topsia, Kolkata, West Bengal 700046","2nd FloorRoom 24C","Kolkata","WestBengal","700046","060025 40311","","","5","1",
"Electric vehicle charging station","Electric Vehicle Charging Station","1021, Janoki,opposite to SBI Bank, JN Bose Rd, Kodalla, Rajpur Sonarpur, Kolkata, West Bengal 700146","1021Janoki","Kolkata","WestBengal","700146","070030 78485","https://www.plugshare.com/location/287156","","","",
"Electric vehicle charging station","Hero Electric Charging Station","295 G.T Road Belur Howrah, Howrah, Kolkata, West Bengal 711202","295 G.T Road Belur HowrahHowrah","Kolkata","WestBengal","711202","082406 15585","https://heroelectric.in/locate-us/","wecare@herolectro.com","","",
